ts_code,trade_date,open,high,low,close,vol
000001.SZ,2025-01-02,11.73,11.77,11.39,11.43,1819596.99
000001.SZ,2025-01-03,11.44,11.54,11.36,11.38,1154680.44
000001.SZ,2025-01-06,11.38,11.48,11.22,11.44,1085536.3
000001.SZ,2025-01-07,11.42,11.53,11.37,11.51,747862.88
000001.SZ,2025-01-08,11.5,11.63,11.4,11.5,1062386.01
000001.SZ,2025-01-09,11.5,11.5,11.35,11.4,751483.3
000001.SZ,2025-01-10,11.4,11.46,11.28,11.3,798133.51
000001.SZ,2025-01-13,11.25,11.26,11.08,11.2,934966.18
000001.SZ,2025-01-14,11.2,11.4,11.19,11.38,824628.95
000001.SZ,2025-01-15,11.38,11.58,11.36,11.48,1031630.82
000001.SZ,2025-01-16,11.55,11.59,11.47,11.57,872963.99
000001.SZ,2025-01-17,11.53,11.55,11.42,11.45,689764.86
000001.SZ,2025-01-20,11.5,11.52,11.4,11.42,832029.13
000001.SZ,2025-01-21,11.45,11.45,11.32,11.33,902068.94
000001.SZ,2025-01-22,11.32,11.33,11.08,11.09,1347129.22
000001.SZ,2025-01-23,11.17,11.4,11.17,11.32,1514920.27
000001.SZ,2025-01-24,11.32,11.39,11.22,11.34,944944.21
000001.SZ,2025-01-27,11.38,11.55,11.38,11.47,1151934.71
000001.SZ,2025-02-05,11.5,11.52,11.33,11.37,843433.7
000001.SZ,2025-02-06,11.35,11.45,11.3,11.36,955603.25
000001.SZ,2025-02-07,11.36,11.45,11.31,11.38,1407492.62
000001.SZ,2025-02-10,11.38,11.5,11.36,11.43,1026590.93
000001.SZ,2025-02-11,11.4,11.47,11.37,11.42,844520.03
000001.SZ,2025-02-12,11.41,11.43,11.34,11.42,988806.83
000001.SZ,2025-02-13,11.42,11.55,11.4,11.5,1358639.27
000001.SZ,2025-02-14,11.49,11.55,11.43,11.55,973057.74
000001.SZ,2025-02-17,11.6,11.8,11.55,11.78,2061965.42
000001.SZ,2025-02-18,11.76,11.96,11.76,11.81,1996610.49
000001.SZ,2025-02-19,11.8,11.81,11.68,11.71,1177748.95
000001.SZ,2025-02-20,11.71,11.76,11.65,11.66,784396.27
000001.SZ,2025-02-21,11.69,11.71,11.55,11.64,973968.97
000001.SZ,2025-02-24,11.63,11.69,11.56,11.59,949956.17
000001.SZ,2025-02-25,11.56,11.58,11.46,11.47,917156.02
000001.SZ,2025-02-26,11.47,11.6,11.47,11.52,841645.52
000001.SZ,2025-02-27,11.53,11.63,11.46,11.62,977309.75
000001.SZ,2025-02-28,11.58,11.68,11.5,11.53,949088.06
000001.SZ,2025-03-03,11.52,11.56,11.45,11.51,830456.95
000001.SZ,2025-03-04,11.47,11.55,11.44,11.51,683178.73
000001.SZ,2025-03-05,11.52,11.67,11.48,11.66,1080645.44
000001.SZ,2025-03-06,11.69,11.7,11.6,11.63,877407.71
000001.SZ,2025-03-07,11.63,11.69,11.6,11.67,835536.69
000001.SZ,2025-03-10,11.66,11.67,11.55,11.59,663833.93
000001.SZ,2025-03-11,11.54,11.61,11.52,11.61,608975.27
000001.SZ,2025-03-12,11.6,11.87,11.56,11.85,1877318.4
000001.SZ,2025-03-13,11.81,11.91,11.78,11.84,1312371.21
000001.SZ,2025-03-14,11.82,12.0,11.82,11.97,1722417.65
000001.SZ,2025-03-17,11.63,11.67,11.46,11.5,4603612.1
000001.SZ,2025-03-18,11.52,11.54,11.48,11.49,1605290.0
000001.SZ,2025-03-19,11.48,11.53,11.46,11.52,1362454.91
000001.SZ,2025-03-20,11.51,11.61,11.49,11.49,1101157.24
000001.SZ,2025-03-21,11.49,11.52,11.39,11.42,1376388.97
000001.SZ,2025-03-24,11.41,11.44,11.34,11.38,1164577.34
000001.SZ,2025-03-25,11.38,11.43,11.36,11.43,735608.88
000001.SZ,2025-03-26,11.42,11.43,11.37,11.38,740863.07
000001.SZ,2025-03-27,11.37,11.41,11.35,11.39,553349.4
000001.SZ,2025-03-28,11.39,11.4,11.34,11.35,644945.55
000001.SZ,2025-03-31,11.36,11.38,11.26,11.26,1116125.64
000001.SZ,2025-04-01,11.27,11.3,11.22,11.27,681470.42
000001.SZ,2025-04-02,11.25,11.41,11.25,11.37,932641.76
000001.SZ,2025-04-03,11.31,11.39,11.3,11.34,643913.91
000001.SZ,2025-04-07,11.0,11.05,10.48,10.7,2545560.48
000001.SZ,2025-04-08,10.68,10.85,10.66,10.82,1463987.71
000001.SZ,2025-04-09,10.73,10.83,10.66,10.8,1064394.05
000001.SZ,2025-04-10,10.86,10.93,10.82,10.9,866548.05
000001.SZ,2025-04-11,10.87,10.9,10.83,10.89,583879.02
000001.SZ,2025-04-14,10.95,11.04,10.92,10.93,785993.45
000001.SZ,2025-04-15,10.92,10.97,10.9,10.95,722754.1
000001.SZ,2025-04-16,10.93,11.01,10.91,11.0,842822.17
000001.SZ,2025-04-17,10.95,11.08,10.93,11.06,823919.31
000001.SZ,2025-04-18,11.04,11.19,11.03,11.18,727098.15
000001.SZ,2025-04-21,11.0,11.13,10.97,11.02,1114184.18
000001.SZ,2025-04-22,11.02,11.06,10.98,11.04,831128.87
000001.SZ,2025-04-23,11.04,11.05,10.97,11.01,586382.93
000001.SZ,2025-04-24,11.0,11.06,10.99,11.03,689256.13
000001.SZ,2025-04-25,11.04,11.05,10.99,11.01,637546.86
000001.SZ,2025-04-28,11.0,11.04,10.96,11.0,642018.37
000001.SZ,2025-04-29,11.0,11.02,10.95,10.98,649044.94
000001.SZ,2025-04-30,10.96,10.97,10.89,10.91,869834.92
000001.SZ,2025-05-06,10.92,11.0,10.89,10.96,854671.27
000001.SZ,2025-05-07,11.01,11.04,10.97,11.03,1126270.01
000001.SZ,2025-05-08,11.0,11.08,10.99,11.08,1056613.66
000001.SZ,2025-05-09,11.07,11.17,11.06,11.15,999897.47
000001.SZ,2025-05-12,11.16,11.22,11.13,11.16,895604.6
000001.SZ,2025-05-13,11.19,11.33,11.15,11.29,1261030.62
